[2025-12-10 00:17:03] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 38, IP: ::1
[2025-12-10 00:18:56] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 39, IP: ::1
[2025-12-10 00:18:56] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 39, IP: ::1
[2025-12-10 00:19:45] SUCCESS - Instructor ID: 1, Action: view_report, Submission ID: 39, IP: ::1
[2025-12-10 00:26:53] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 39, IP: ::1
[2025-12-10 00:26:53] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 39, IP: ::1
[2025-12-10 00:26:56] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 38, IP: ::1
[2025-12-10 00:26:56] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 38, IP: ::1
[2025-12-10 00:27:00] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 37, IP: ::1
[2025-12-10 00:27:00] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 37, IP: ::1
[2025-12-10 00:27:38] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 36, IP: ::1
[2025-12-10 00:27:38] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 36, IP: ::1
[2025-12-10 00:36:44] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 35, IP: ::1
[2025-12-10 00:36:44] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 35, IP: ::1
[2025-12-10 00:37:19] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 35, IP: ::1
[2025-12-10 00:37:19] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 35, IP: ::1
[2025-12-10 00:38:09] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 35, IP: ::1
[2025-12-10 00:38:09] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 35, IP: ::1
[2025-12-10 00:39:31] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 36, IP: ::1
[2025-12-10 00:39:31] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 36, IP: ::1
[2025-12-10 00:39:37] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 36, IP: ::1
[2025-12-10 00:39:37] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 36, IP: ::1
[2025-12-10 00:39:44] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 36, IP: ::1
[2025-12-10 00:39:44] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 36, IP: ::1
[2025-12-10 00:44:33] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 40, IP: ::1
[2025-12-10 00:44:33] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 40, IP: ::1
[2025-12-17 00:48:21] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 41, IP: ::1
[2025-12-17 00:48:21] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 41, IP: ::1
[2025-12-17 00:48:26] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 41, IP: ::1
